Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
118,Cedi Osman,SF,24,CLE,65,65,29.4,4.1,9.4,0.437,1.9,4.9,0.383,2.2,4.4,0.497,0.538,1,1.4,0.67,0.6,3,3.6,2.4,0.8,0.2,1.4,2.5,11,osmande01
119,Steven Adams,C,26,OKC,63,63,26.7,4.5,7.6,0.592,0,0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6,9.3,2.3,0.8,1.1,1.5,1.9,10.9,adamsst01
120,Dejounte Murray,PG,23,SAS,66,58,25.6,4.5,9.7,0.462,0.6,1.7,0.369,3.8,8,0.481,0.494,1.4,1.7,0.798,1,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9,murrade01
121,Ish Smith,PG,31,WAS,68,23,26.3,4.5,10.1,0.447,0.9,2.5,0.367,3.6,7.6,0.473,0.492,0.9,1.3,0.721,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,10.9,smithis01
122,Jeff Teague,PG,31,TOT,59,17,24.8,3.6,8.3,0.436,0.7,2,0.368,2.9,6.3,0.457,0.48,2.9,3.3,0.873,0.5,1.9,2.4,5.2,0.7,0.3,2,1.8,10.9,teaguje01
123,Rudy Gay,PF,33,SAS,67,5,21.8,4,8.9,0.446,1.1,3.3,0.336,2.9,5.6,0.511,0.508,1.8,2,0.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8,gayru01
124,Dario Saric,PF,25,PHO,66,51,24.7,3.9,8.2,0.476,1.3,3.6,0.357,2.6,4.6,0.568,0.554,1.6,1.9,0.844,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4,10.7,saricda01
125,OG Anunoby,SF,22,TOR,69,68,29.9,4.1,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,anunoog01
126,D.J. Augustin,PG,32,ORL,57,13,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2,4.6,0.438,0.475,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0,1.5,1.3,10.5,augusdj01
127,Jae Crowder,SF-PF,29,TOT,65,53,28.8,3.5,8.7,0.401,2.1,6.1,0.343,1.4,2.6,0.538,0.521,1.5,1.9,0.776,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5,crowdja01
128,Danuel House Jr.,SF,26,HOU,63,52,30.4,3.7,8.6,0.427,2,5.6,0.363,1.6,2.9,0.549,0.546,1.2,1.4,0.811,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5,houseda01
129,Cam Reddish,SF,20,ATL,58,34,26.7,3.7,9.6,0.384,1.4,4.3,0.332,2.2,5.2,0.428,0.459,1.7,2.2,0.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5,reddica01
130,Troy Brown Jr.,SF,20,WAS,69,22,25.8,4,9,0.439,0.9,2.6,0.341,3.1,6.4,0.479,0.488,1.6,2,0.784,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4,browntr01
131,Gary Harris,SG,25,DEN,56,55,31.8,3.9,9.3,0.42,1.3,3.8,0.333,2.6,5.5,0.479,0.487,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4,harriga01
132,Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,0.435,2,5,0.399,1.6,3.2,0.493,0.557,1.1,1.3,0.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3,gallola01
133,Doug McDermott,PF,28,IND,69,0,19.9,3.9,7.9,0.488,1.9,4.3,0.435,2,3.7,0.549,0.605,0.7,0.8,0.828,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3,mcderdo01
134,Malik Monk,SG,21,CHO,55,1,21.3,3.9,8.9,0.434,1.1,3.7,0.284,2.8,5.2,0.542,0.494,1.5,1.8,0.82,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3,monkma01
135,Shabazz Napier,PG,28,TOT,56,32,24,3.4,8.1,0.412,1.4,4.3,0.317,2,3.9,0.519,0.496,2.3,2.7,0.824,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3,napiesh01
136,Garrett Temple,SG,33,BRK,62,35,27.9,3.6,9.5,0.378,2,6.2,0.329,1.5,3.2,0.473,0.486,1.1,1.4,0.805,0.5,3,3.5,2.5,0.8,0.5,1,1.7,10.3,templga01
137,Thaddeus Young,PF,31,CHI,64,16,24.9,4.2,9.4,0.448,1.2,3.5,0.356,3,5.9,0.501,0.513,0.7,1.1,0.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,youngth01
138,Josh Hart,SF,24,NOP,65,16,27,3.5,8.2,0.423,1.9,5.4,0.342,1.6,2.7,0.584,0.537,1.3,1.8,0.739,0.9,5.6,6.5,1.7,1,0.4,1.2,2.5,10.1,hartjo01
139,Ben McLemore,SF,26,HOU,71,23,22.8,3.4,7.7,0.444,2.5,6.4,0.4,0.9,1.3,0.656,0.61,0.7,0.9,0.746,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1,mclembe01
140,Larry Nance Jr.,PF,27,CLE,56,10,26.3,4.1,7.7,0.531,1,2.8,0.352,3.1,4.9,0.636,0.596,0.9,1.3,0.676,1.9,5.4,7.3,2.2,1,0.4,1.1,1.6,10.1,nancela02
141,Bobby Portis,PF,24,NYK,66,5,21.1,4,8.9,0.45,1,2.8,0.358,3,6.1,0.493,0.507,1.1,1.4,0.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1,portibo01
142,Kevin Porter Jr.,SF,19,CLE,50,3,23.2,3.7,8.4,0.442,1.1,3.2,0.335,2.7,5.3,0.506,0.505,1.5,2,0.723,0.4,2.8,3.2,2.2,0.9,0.3,1.9,2.7,10,porteke02
143,Tomas Satoransky,SG,28,CHI,65,64,28.9,3.6,8.5,0.43,1,3.1,0.322,2.7,5.4,0.491,0.488,1.6,1.9,0.876,1.2,2.7,3.9,5.4,1.2,0.1,2,2.1,9.9,satorto01
144,Joe Ingles,PF,32,UTA,72,45,29.7,3.4,7.7,0.445,2,4.9,0.399,1.5,2.8,0.525,0.572,1,1.3,0.787,0.4,3.5,3.9,5.2,0.9,0.2,2,2.1,9.8,inglejo01
145,Furkan Korkmaz,SG,22,PHI,72,12,21.7,3.4,7.8,0.43,2,4.9,0.402,1.4,2.9,0.478,0.557,1.1,1.4,0.755,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8,korkmfu01
146,Markieff Morris,PF,30,TOT,58,17,20.5,3.5,7.9,0.443,1.5,3.9,0.386,2,4,0.5,0.539,1.1,1.5,0.776,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7,morrima02
147,Mitchell Robinson,C,21,NYK,61,7,23.1,4.1,5.6,0.742,0,0,0,4.1,5.6,0.742,0.742,1.4,2.4,0.568,3,4,7,0.6,0.9,2,0.6,3.2,9.7,robinmi01
148,Dorian Finney-Smith,PF,26,DAL,71,68,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,0.575,1.1,1.5,0.722,2,3.7,5.7,1.6,0.6,0.5,1,2.5,9.5,finnedo01
149,Aaron Holiday,PG,23,IND,66,33,24.5,3.5,8.5,0.414,1.3,3.3,0.394,2.2,5.2,0.427,0.491,1.1,1.3,0.851,0.3,2,2.4,3.4,0.8,0.2,1.3,1.8,9.5,holidaa01
150,George Hill,PG,33,MIL,59,2,21.5,3.3,6.4,0.516,1.4,3,0.46,1.9,3.4,0.565,0.624,1.4,1.7,0.842,0.8,2.2,3,3.1,0.8,0.1,1,1.4,9.4,hillge01
151,Kentavious Caldwell-Pope,SG,26,LAL,69,26,25.5,3.4,7.3,0.467,1.3,3.5,0.385,2.1,3.9,0.541,0.558,1.1,1.5,0.775,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3,caldwke01
152,Marquese Chriss,PF,22,GSW,59,21,20.3,3.6,6.5,0.545,0.1,0.7,0.205,3.4,5.9,0.584,0.556,2,2.6,0.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3,chrisma01
153,Michael Porter Jr.,SF,21,DEN,55,8,16.4,3.5,7,0.509,1.1,2.7,0.422,2.4,4.3,0.564,0.59,1.1,1.3,0.833,1.2,3.5,4.7,0.8,0.5,0.5,0.9,1.8,9.3,portemi01
154,Landry Shamet,SG,22,LAC,53,30,27.4,3,7.4,0.404,2.1,5.6,0.375,0.9,1.8,0.495,0.546,1.2,1.4,0.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3,shamela01
155,Jarrett Culver,SG,20,MIN,63,35,23.9,3.7,9,0.404,1,3.5,0.299,2.6,5.5,0.471,0.462,0.9,1.9,0.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2,9.2,culveja01
156,Donte DiVincenzo,SG,23,MIL,66,24,23,3.5,7.7,0.455,1.3,3.7,0.336,2.3,4,0.567,0.536,1,1.3,0.733,1,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2,divindo01
157,Daniel Theis,C,27,BOS,65,64,24.1,3.7,6.6,0.566,0.5,1.5,0.333,3.2,5.1,0.633,0.603,1.3,1.8,0.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2,theisda01
158,Mikal Bridges,SF,23,PHO,73,32,28,3.4,6.6,0.51,1,2.7,0.361,2.4,4,0.61,0.583,1.4,1.7,0.844,0.9,3.1,4,1.8,1.4,0.6,1,2.2,9.1,bridgmi01
159,Maxi Kleber,PF,28,DAL,74,21,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.6,2.6,0.605,0.577,1.1,1.3,0.849,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1,klebima01
160,Derrick Favors,C,28,NOP,51,49,24.4,4.1,6.6,0.617,0,0.1,0.143,4.1,6.5,0.627,0.618,0.8,1.4,0.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9,favorde01
161,Monte Morris,PG,24,DEN,73,12,22.4,3.6,7.8,0.459,0.9,2.4,0.378,2.7,5.4,0.495,0.517,1,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1,9,morrimo01
162,Svi Mykhailiuk,SF,22,DET,56,27,22.6,3,7.2,0.41,2.1,5.1,0.404,0.9,2.1,0.425,0.552,1,1.3,0.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9,mykhasv01
163,Bruce Brown,PG,23,DET,58,43,28.2,3.4,7.7,0.443,0.6,1.7,0.344,2.8,6.1,0.47,0.48,1.5,2.1,0.739,1.1,3.7,4.7,4,1.1,0.5,1.7,2.8,8.9,brownbr01
164,Gary Trent Jr.,SF,21,POR,61,8,21.8,3.2,7.2,0.444,1.8,4.4,0.418,1.4,2.8,0.486,0.571,0.6,0.7,0.822,0.4,1.2,1.6,1,0.8,0.3,0.3,1.5,8.9,trentga02
165,Kent Bazemore,SF,30,TOT,68,21,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,4.3,0.4,0.453,1.7,2.2,0.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,bazemke01
166,Cameron Johnson,PF,23,PHO,57,9,22,3.1,7.1,0.435,1.9,4.8,0.39,1.2,2.3,0.526,0.565,0.8,1,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8,johnsca02
167,Jordan Poole,SG,20,GSW,57,14,22.4,2.9,8.8,0.333,1.3,4.6,0.279,1.6,4.2,0.392,0.406,1.7,2.1,0.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8,poolejo01
168,Austin Rivers,SG,27,HOU,68,4,23.4,3.1,7.4,0.421,1.4,4,0.356,1.7,3.4,0.498,0.517,1.1,1.6,0.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8,riverau01
169,Josh Okogie,SG,21,MIN,62,28,25,2.7,6.4,0.427,0.7,2.5,0.266,2.1,3.9,0.529,0.479,2.5,3.1,0.796,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,okogijo01
170,Derrick Jones Jr.,SF,22,MIA,59,16,23.3,3.1,5.9,0.527,0.6,2.2,0.28,2.5,3.7,0.677,0.58,1.6,2.1,0.772,1.1,2.8,3.9,1.1,1,0.6,0.5,2.2,8.5,jonesde02
171,Justin Holiday,SF,30,IND,73,6,25,2.8,6.7,0.428,1.8,4.5,0.405,1,2.1,0.477,0.566,0.7,0.9,0.791,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3,holidju01
172,DeAndre Jordan,C,31,BRK,56,6,22,3.4,5.1,0.666,0,0,0,3.4,5.1,0.666,0.666,1.5,2.2,0.68,2.5,7.5,10,1.9,0.3,0.9,1.3,2,8.3,jordade01
173,E'Twaun Moore,SG,30,NOP,56,6,18.2,3.3,7.8,0.426,1.1,3,0.377,2.2,4.8,0.456,0.498,0.6,0.8,0.689,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3,mooreet01
174,Anfernee Simons,SG,20,POR,70,4,20.7,3.1,7.7,0.399,1.1,3.2,0.332,2,4.4,0.448,0.469,1.1,1.3,0.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3,simonan01
175,Ivica Zubac,C,22,LAC,72,70,18.4,3.3,5.3,0.613,0,0,0,3.3,5.3,0.616,0.613,1.7,2.3,0.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3,zubaciv01
176,Jalen Brunson,PG,23,DAL,57,16,17.9,3.2,6.8,0.466,0.8,2.1,0.358,2.4,4.7,0.515,0.522,1.1,1.3,0.813,0.4,2,2.4,3.3,0.4,0.1,1.2,1.3,8.2,brunsja01
177,Kelly Olynyk,C,28,MIA,67,9,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,2.4,0.543,0.582,1.3,1.5,0.86,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2,olynyke01
178,Enes Kanter,C,27,BOS,58,7,16.9,3.4,6,0.572,0,0.1,0.143,3.4,5.9,0.581,0.573,1.2,1.7,0.707,2.8,4.6,7.4,1,0.4,0.7,1,1.7,8.1,kanteen01
179,Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4,4.6,1.7,1.3,0.3,1.1,2.1,8,arizatr01
180,Danny Green,SG,32,LAL,68,68,24.8,2.9,7,0.416,1.8,4.8,0.367,1.1,2.2,0.524,0.542,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2,8,greenda02
181,Alex Len,C,26,TOT,55,12,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4,5.8,0.9,0.4,0.9,1,2.3,8,lenal01
182,Tony Snell,SF,28,DET,59,57,27.8,2.9,6.5,0.445,1.7,4.3,0.402,1.2,2.2,0.531,0.579,0.5,0.5,1,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8,snellto01
183,Patrick Beverley,PG,31,LAC,51,50,26.3,2.9,6.7,0.431,1.6,4,0.388,1.3,2.6,0.496,0.548,0.6,0.9,0.66,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9,beverpa01
184,De'Anthony Melton,PG,21,MEM,60,8,19.5,2.7,6.7,0.401,0.7,2.3,0.286,2,4.4,0.464,0.451,1.6,2,0.769,0.7,3,3.7,2.9,1.3,0.3,1.4,1.8,7.6,meltode01
185,Omari Spellman,C,22,GSW,49,3,18.1,2.6,6,0.431,0.9,2.2,0.391,1.7,3.8,0.454,0.503,1.5,1.9,0.793,1.6,2.9,4.5,1,0.7,0.5,1.1,1.3,7.6,spellom01
186,Terence Davis,SG,22,TOR,72,4,16.8,2.8,6.1,0.456,1.3,3.4,0.388,1.5,2.7,0.541,0.564,0.7,0.8,0.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5,daviste02
187,Dwight Howard,C,34,LAL,69,2,18.9,2.9,4,0.729,0,0.1,0.6,2.9,3.9,0.732,0.735,1.6,3.1,0.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,howardw01
188,Bismack Biyombo,C,27,CHO,53,29,19.4,2.8,5.2,0.543,0,0,0,2.8,5.2,0.543,0.543,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,biyombi01
189,Gorgui Dieng,C,30,TOT,63,17,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,0.53,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1,2,7.4,dienggo01
190,Jaxson Hayes,C,19,NOP,64,14,16.9,2.7,4,0.672,0,0.1,0.25,2.7,4,0.678,0.674,1.9,3,0.647,1.5,2.5,4,0.9,0.4,0.9,0.8,2.5,7.4,hayesja02
191,Tyus Jones,PG,23,MEM,65,6,19,3,6.6,0.459,0.7,1.9,0.379,2.3,4.7,0.492,0.514,0.7,0.9,0.741,0.1,1.4,1.6,4.4,0.9,0.1,0.8,0.7,7.4,jonesty01
192,Wesley Matthews,SG,33,MIL,67,67,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.9,1.9,0.472,0.524,0.8,1,0.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,matthwe02
193,Nerlens Noel,C,25,OKC,61,7,18.5,3,4.4,0.684,0,0,0.333,3,4.4,0.688,0.686,1.3,1.7,0.755,1.5,3.4,4.9,0.9,1,1.5,1.1,2.7,7.4,noelne01
194,Kris Dunn,PG,25,CHI,51,32,24.9,3,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2,0.3,1.3,3.1,7.3,dunnkr01
195,Emmanuel Mudiay,PG,23,UTA,54,2,15.7,2.8,6.1,0.462,0.6,1.6,0.345,2.2,4.4,0.504,0.508,1.2,1.5,0.759,0.3,2,2.3,2.1,0.4,0.2,1.4,1.3,7.3,mudiaem01
196,Willie Cauley-Stein,C,26,TOT,54,39,20.3,3.2,5.6,0.579,0,0,0,3.2,5.6,0.581,0.579,0.7,1.2,0.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,caulewi01
197,Mason Plumlee,C,29,DEN,61,1,17.3,2.9,4.7,0.615,0,0.1,0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2,plumlma01
198,Rondae Hollis-Jefferson,PF,25,TOR,60,6,18.7,2.6,5.5,0.471,0.1,0.4,0.13,2.5,5.1,0.497,0.476,1.8,2.4,0.734,1.8,2.9,4.7,1.8,0.8,0.4,1,1.9,7,holliro01
199,P.J. Tucker,PF,34,HOU,72,72,34.3,2.5,5.9,0.415,1.5,4.2,0.358,1,1.8,0.551,0.541,0.5,0.7,0.813,1.6,5.1,6.6,1.6,1.1,0.5,1,3.2,6.9,tuckepj01
200,Brad Wanamaker,PG,30,BOS,71,1,19.3,2.3,5.1,0.448,0.5,1.4,0.363,1.8,3.7,0.481,0.499,1.8,1.9,0.926,0.3,1.7,2,2.5,0.9,0.2,1.1,1.9,6.9,wanambr01
201,Delon Wright,PG,27,DAL,73,5,21.5,2.6,5.6,0.462,0.6,1.7,0.37,2,3.9,0.504,0.519,1.1,1.4,0.77,1,2.9,3.8,3.3,1.2,0.3,1,1.3,6.9,wrighde01
202,JaMychal Green,PF,29,LAC,63,1,20.7,2.4,5.6,0.429,1.5,3.8,0.387,0.9,1.8,0.518,0.56,0.6,0.8,0.75,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8,greenja01
203,Damyean Dotson,SG,25,NYK,48,0,17.4,2.5,6,0.414,1.2,3.4,0.362,1.3,2.6,0.48,0.516,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,dotsoda01
204,Kyle Korver,SF,38,MIL,58,1,16.6,2.2,5.1,0.43,1.7,4.1,0.418,0.5,1,0.482,0.599,0.6,0.7,0.854,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7,korveky01
205,Chris Boucher,C,27,TOR,62,0,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.7,2.9,0.569,0.535,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1,0.5,1.8,6.6,bouchch01
206,James Ennis III,SF-SG,29,TOT,69,18,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.5,2.8,0.553,0.522,1.1,1.4,0.806,1,2.5,3.6,0.9,0.5,0.3,0.8,2,6.6,ennisja01
207,Ersan Ilyasova,PF,32,MIL,63,8,15.7,2.3,5,0.466,0.8,2.2,0.365,1.5,2.8,0.545,0.546,1.1,1.4,0.828,1,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6,ilyaser01
208,JaVale McGee,C,32,LAL,68,68,16.6,2.9,4.5,0.637,0,0.1,0.5,2.8,4.4,0.64,0.642,0.8,1.2,0.646,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6,mcgeeja01
209,Nicolo Melli,C,29,NOP,60,8,17.4,2.3,5.4,0.421,1.2,3.4,0.335,1.1,2,0.573,0.528,0.9,1.2,0.74,0.6,2.4,3,1.4,0.6,0.4,0.8,2.1,6.6,mellini01
210,T.J. McConnell,PG,27,IND,71,3,18.7,3,5.8,0.516,0.1,0.2,0.294,2.9,5.5,0.525,0.522,0.5,0.6,0.833,0.5,2.1,2.7,5,0.8,0.2,1.4,1,6.5,mccontj01
211,Cory Joseph,PG,28,SAC,72,26,24.4,2.4,5.7,0.415,0.8,2.2,0.352,1.6,3.5,0.455,0.483,0.8,1,0.857,0.6,2,2.6,3.5,0.7,0.3,1.1,1.8,6.4,josepco01
212,Kevin Knox,SF,20,NYK,65,4,17.9,2.2,6.2,0.359,1,3.1,0.327,1.2,3.1,0.391,0.44,1,1.6,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,knoxke01
213,Trey Lyles,PF,24,SAS,63,53,20.2,2.4,5.4,0.446,1,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,lylestr01
214,Lonnie Walker IV,SG,21,SAS,61,12,16.2,2.5,5.9,0.426,0.7,1.7,0.406,1.8,4.2,0.434,0.483,0.7,1,0.721,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4,walkelo01
215,Marco Belinelli,SG,33,SAS,57,0,15.5,2.2,5.5,0.392,1.2,3.1,0.376,1,2.4,0.412,0.498,0.8,1,0.828,0.1,1.6,1.7,1.2,0.2,0,0.3,0.8,6.3,belinma01
216,Frank Jackson,PG,21,NOP,59,2,13.5,2.3,5.6,0.405,0.8,2.4,0.326,1.5,3.2,0.465,0.476,0.9,1.3,0.747,0.4,1,1.4,1,0.3,0.1,0.8,1.3,6.3,jacksfr01
217,Abdel Nader,SF,26,OKC,55,6,15.8,2.2,4.8,0.468,0.9,2.3,0.375,1.4,2.5,0.556,0.559,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,naderab01
218,Frank Ntilikina,PG,21,NYK,57,26,20.8,2.3,5.8,0.393,0.8,2.4,0.321,1.5,3.4,0.444,0.459,0.9,1,0.864,0.4,1.7,2.1,3,0.9,0.3,1.2,2.5,6.3,ntilila01
219,Royce O'Neale,SF,26,UTA,71,62,28.9,2.2,5.1,0.433,1.3,3.4,0.377,0.9,1.7,0.545,0.559,0.6,0.8,0.764,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,6.3,onealro01
220,Taj Gibson,C,34,NYK,62,56,16.5,2.7,4.6,0.584,0.1,0.2,0.286,2.6,4.4,0.599,0.591,0.7,0.9,0.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2,6.1,gibsota01
221,Mike Scott,PF,31,PHI,68,11,17.8,2.2,5.1,0.426,1.2,3.2,0.369,1,2,0.519,0.54,0.4,0.5,0.811,1,2.7,3.6,0.8,0.3,0.1,0.4,1.4,6,scottmi01
222,Georges Niang,PF,26,UTA,66,1,14,2.1,4.9,0.438,1.4,3.4,0.4,0.8,1.5,0.526,0.578,0.3,0.4,0.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9,niangge01
223,Marvin Williams,PF,33,TOT,58,1,19.5,2.1,4.6,0.446,1,2.7,0.359,1.1,1.9,0.568,0.551,0.8,1,0.86,0.5,2.6,3.2,1,0.6,0.5,0.6,1.8,5.9,willima02
224,Kyle Anderson,SF,26,MEM,67,28,19.9,2.3,4.9,0.474,0.4,1.3,0.282,2,3.7,0.541,0.511,0.8,1.2,0.667,0.9,3.4,4.3,2.4,0.8,0.6,1,1.7,5.8,anderky01
225,Maurice Harkless,PF-SF,26,TOT,62,48,23,2.3,4.6,0.502,0.5,1.6,0.347,1.7,3,0.584,0.562,0.6,1.1,0.591,0.9,3,3.9,1.1,0.9,0.5,0.9,2.4,5.8,harklma01
226,Wes Iwundu,SF,25,ORL,52,21,18.3,1.9,4.5,0.416,0.5,1.6,0.341,1.3,2.9,0.457,0.476,1.5,1.9,0.804,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8,iwundwe01
227,Darius Bazley,PF,19,OKC,61,9,18.5,2,5.2,0.394,0.8,2.3,0.348,1.2,2.9,0.432,0.472,0.7,1,0.694,0.5,3.5,4,0.7,0.4,0.7,0.7,0.9,5.6,bazleda01
228,Damian Jones,C,24,ATL,55,27,16.1,2.2,3.2,0.68,0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,jonesda03
229,Jakob Poeltl,C,24,SAS,66,18,17.7,2.5,4,0.624,0,0,0,2.5,4,0.624,0.624,0.6,1.3,0.465,2,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6,poeltja01
230,Alex Caruso,PG,25,LAL,64,2,18.4,1.9,4.5,0.412,0.6,1.9,0.333,1.3,2.7,0.468,0.481,1.1,1.5,0.734,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5,carusal01
231,Solomon Hill,PF,28,TOT,59,4,18.4,1.9,4.7,0.396,1.1,2.9,0.368,0.8,1.8,0.439,0.509,0.7,0.9,0.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5,hillso01
232,Justin Jackson,PF,24,DAL,65,3,16.1,2.1,5.2,0.396,0.7,2.5,0.294,1.3,2.7,0.489,0.466,0.6,0.8,0.84,0.4,2,2.4,0.8,0.2,0.2,0.2,1.1,5.5,jacksju01
233,Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.526,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,bambamo01
234,Pat Connaughton,SG,27,MIL,67,4,18.6,2,4.5,0.455,0.8,2.5,0.331,1.2,2,0.607,0.547,0.5,0.6,0.775,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1,5.4,connapa01
235,Torrey Craig,SF,29,DEN,58,27,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,craigto01
